Magnitude,Depth,destruction,Victim's reaction,Intensity
6.5,8,7,8,9
6.8,33,5,6,7
5.5,70,8,9,10
6.5,10,3,4,5
6.9,8,3,4,5
6,27,5,6,7
7.8,8.2,8,9,10
4.7,5,3,4,5
6.7,127.9,4,5,6
6.5,38,3,4,5
8.2,46,7,8,9
5,10,3,4,5
6.6,27.8,2,3,4
5.8,6,7,8,9
6.6,62,5,6,7
6.7,32,4,5,6
7.2,56,8,9,10
7.2,22,5,6,7
7.8,664,1,2,3
6.9,56.6,3,4,5
6.1,33,6,7,8
6.7,12,5,6,7
6.4,14,5,6,7
6.2,17,5,6,7
7,11,7,8,9
6.9,17,9,10,11
6.7,10,3,4,5
6.3,30,5,6,7
6.8,16.441,3,4,5
6.5,9,6,7,8
6.8,12,5,6,7
7,70,5,6,7
6.8,40,3,4,5
7,48,5,6,7
4.8,10,4,5,6
6.6,15,5,6,7
6.7,34,3,4,5
6.2,33,7,8,9
6.6,15,5,6,7
6.8,164.2,3,4,5
7.8,30,5,6,7
5.7,10,7,8,9
4.5,7,5,6,7
7.1,55.14,5,6,7
6.9,132,6,7,8
6.7,21,4,5,6
6.4,126,3,4,5
7.8,24,1,2,3
7,39,5,6,7
6.7,13,1,2,3
6.6,10,8,9,10
6.5,103,7,8,9
7.1,135,4,5,6
7.6,33,4,5,6
7.6,11,8,9,10
6.6,27,4,5,6
6,23,4,5,6
6.7,11,4,5,6
6.5,10,5,6,7
5.7,10,5,6,7
7.9,45,6,7,8
7.1,35,5,6,7
5.8,33,5,6,7
6.7,40.8,2,3,4
8.2,30,6,7,8
6.5,8,2,3,4
6.6,18,5,6,7
6.8,13,3,4,5
7.4,10,5,6,7
7.8,60,6,7,8
6.1,15,5,6,7
7.2,50,4,5,6
5.4,35,5,6,7
6,15,5,6,7
7.1,525,1,2,3
6.6,10,5,6,7
6.3,2,6,7,8
6.7,28,4,5,6
6.6,15,6,7,8
6.1,25,6,7,8
6.9,4,6,7,8
7.8,33,5,6,7
7,33,6,7,8
7.9,55,5,6,7
7.3,19,6,7,8
6.8,87,4,5,6
6.5,577,0,1,2
7.4,43,5,6,7
7.3,146.82,4,5,6
6.5,2.7,6,7,8
6.9,10,7,8,9
6.2,13,8,9,10
6.6,26,5,6,7
6.7,24,5,6,7
7.1,525,1,2,3
6.8,5,8,9,10
6.2,19,5,6,7
6.9,27,6,7,8
6.8,33,4,5,6
7.4,10,3,4,5
6.5,10,4,5,6
6.9,11,5,6,7
7.7,10,2,3,4
6.8,147,4,5,6
6.6,11,6,7,8
7.4,156,5,6,7
6.5,220,2,3,4
6.4,15,6,7,8
7.5,33,4,5,6
6.5,8,2,3,4
6.7,164.4,3,4,5
6.6,23,3,4,5
8,19,5,6,7
7.2,19,2,3,4
6.5,10,5,6,7
6.7,46,4,5,6
6.8,112,4,5,6
7,70,5,6,7
7.2,112,5,6,7
7.8,18,10,11,12
7.1,10,5,6,7
6.5,8,2,3,4
7.8,31,5,6,7
6.6,10,4,5,6
6.5,33,3,4,5
6.9,43,4,5,6
6.9,26,2,3,4
7.9,94.54,5,6,7
7.5,33,4,5,6
6,18,1,2,3
7.6,26,7,8,9
4,10,2,3,4
6.9,115,2,3,4
7.6,24,5,6,7
7.1,155,3,4,5
6.9,29,5,6,7
6.7,24,3,4,5
5.7,33,3,4,5
7.3,22,7,8,9
8.8,23,7,8,9
7,80,3,4,5
8,60.5,7,8,9
7.1,18,8,9,10
4.8,10,3,4,5
6.4,108,7,8,9
7.5,20,6,7,8
6.8,10,3,4,5
7.3,14.27,3,4,5
4.4,43,4,5,6
9.2,25,9,10,11
6.5,18,6,7,8
6.8,12,7,8,9
7.3,8,7,8,9
7.2,10,7,8,9
6.5,43,4,5,6
6.9,35,4,5,6
6.2,12,2,3,4
7.1,15,7,8,9
6.5,28,1,2,3
7.8,160,8,9,10
8.2,60,7,8,9
8.2,47.39,5,6,7
7.7,40,5,6,7
6.7,46,4,5,6
6.6,7,5,6,7
7,10,3,4,5
6.8,35,4,5,6
5.8,10,7,8,9
7.6,10,5,6,7
6.4,5,6,7,8
7.9,4.2,7,8,9
6.2,21,6,7,8
6.5,33,3,4,5
8.3,22,7,8,9
5.5,8,2,3,4
5,41,4,5,6
5.9,33,6,7,8
6.5,20,5,6,7
7.3,14,7,8,9
7.8,20,10,11,12
6.8,10,3,4,5
6.8,12,4,5,6
7.5,24,6,7,8
4.7,13,6,7,8
6.5,36,4,5,6
7.4,30,5,6,7
7.3,10,6,7,8
7.9,44,4,5,6
7,11,7,8,9
6.6,20,8,9,10
7.9,55,6,7,8
6.7,66,4,5,6
7.2,112,5,6,7
6.2,8,6,7,8
6.5,15,7,8,9
8.8,22.9,6,7,8
8.2,47.4,7,8,9
5.4,11,6,7,8
6.8,21,3,4,5
6.8,476,1,2,3
6.6,10,5,6,7
6.6,43.21,2,3,4
6.6,30,4,5,6
8,10,3,4,5
6.6,15,6,7,8
6.5,37,1,2,3
6.5,18,5,6,7
6.4,10,7,8,9
7.7,10,6,7,8
6.6,15,6,7,8
6.1,15,5,6,7
7.5,80,5,6,7
5.8,33,5,6,7
7.9,10,4,5,6
6.9,12,2,3,4
8,122.57,6,7,8
8.1,13,7,8,9
6.4,33,6,7,8
6.5,83,4,5,6
7.6,17,8,9,10
6.8,26,4,5,6
6.7,200.7,2,3,4
6.6,15,5,6,7
6.3,206,4,5,6
6.6,10,6,7,8
7.5,280,3,4,5
6.7,33,4,5,6
6,38,3,4,5
6.7,35,4,5,6
5.6,10,6,7,8
5.3,33,5,6,7
7.1,38,7,8,9
7.7,60,6,7,8
6.1,37,4,5,6
6.8,22,5,6,7
6.2,8,6,7,8
6.8,87.2,5,6,7
5.4,15,5,6,7
7.6,10,8,9,10
6.9,33,1,2,3
7,34,4,5,6
7,43,5,6,7
6.5,28.737,5,6,7
7.6,17,8,9,10
9.2,25,9,10,11
7.7,20,8,9,10
6.7,66,4,5,6
7.4,13,7,8,9
6.8,13,3,4,5
6.7,602.75,1,2,3
6.8,24,6,7,8
6.6,22,5,6,7
5.2,15,5,6,7
8.3,20,8,9,10
6.8,5,8,9,10
5.7,5,6,7,8
6.5,33,4,5,6
7.2,78,4,5,6
7,150,7,8,9
6.5,8.2,5,6,7
7,33,5,6,7
5.3,33,5,6,7
6.7,223,4,5,6
6.5,20,4,5,6
7.2,28,5,6,7
5.8,10,4,5,6
8,100,6,7,8
7.7,40,5,6,7
6.5,41,4,5,6
5.8,15,5,6,7
5.4,10,2,3,4
6.7,10,2,3,4
6.6,16.1,3,4,5
6.2,30,6,7,8
6.7,17,4,5,6
7.6,33,5,6,7
4.5,7,4,5,6
7.5,10,7,8,9
8.6,25,6,7,8
6.9,20,3,4,5
7.2,236,3,4,5
7,10,7,8,9
7.9,10,7,8,9
6.5,8,7,8,9
6.5,41,4,5,6
6.8,33,4,5,6
7.8,59,7,8,9
5.4,10,5,6,7
8.6,20,5,6,7
5.9,9,1,2,3
6.5,12.26,5,6,7
6.9,33,3,4,5
6.5,10,5,6,7
5.9,13,7,8,9
6.6,12,6,7,8
6.7,550,1,2,3
5.5,9,6,7,8
7.6,60,8,9,10
5.5,8,2,3,4
7.8,31,5,6,7
7.5,57.8,3,4,5
6.4,29,3,4,5
7,10,4,5,6
8.6,60,5,6,7
6.8,35,3,4,5
8.1,33,5,6,7
6.6,39,5,6,7
7.7,48,6,7,8
6.5,10,6,7,8
6.4,19,0,1,2
8.8,22.9,7,8,9
7.3,30,8,9,10
6.3,10,3,4,5
7.7,10,6,7,8
6.9,9,5,6,7
7.3,25,5,6,7
7.5,10,4,5,6
6.6,19,5,6,7
6.6,43.21,2,3,4
6.2,13,8,9,10
6.5,371,2,3,4
5.6,21,5,6,7
4.5,27,5,6,7
7,10,8,9,10
7.1,630,1,2,3
7,12,6,7,8
8.5,30,8,9,10
7.5,55,5,6,7
7.4,173.7,4,5,6
7.8,10,7,8,9
6.6,11,5,6,7
6.7,26.59,3,4,5
6.5,10,7,8,9
6.7,223,4,5,6
8.7,30.3,4,5,6
6.5,12,5,6,7
6.8,19,4,5,6
8.2,32,6,7,8
6.6,134.7,3,4,5
6.9,10,4,5,6
6.5,12.06,6,7,8
6.9,28,4,5,6
5.4,15,4,5,6
6.5,11,7,8,9
7.5,33,4,5,6
5.8,15,5,6,7
5,18,4,5,6
6.5,17,2,3,4
8.2,25,9,10,11
6.6,8.45,2,3,4
7.5,31,5,6,7
7.7,33,7,8,9
6.6,614,1,2,3
5.2,10,5,6,7
6.5,12.26,3,4,5
7.2,10,5,6,7
6.1,15,5,6,7
6.8,10,3,4,5
6.5,8,2,3,4
7.6,22,6,7,8
7.4,8,7,8,9
6.6,14,4,5,6
6.5,85,6,7,8
8,60.5,7,8,9
6.5,20,2,3,4
6.8,24,4,5,6
6.8,52,6,7,8
8.6,33,9,10,11
6.8,33,5,6,7
8.1,90,6,7,8
6.7,18,3,4,5
7.6,88.8,4,5,6
7.9,670.81,2,3,4
7.2,68,5,6,7
6.8,24,6,7,8
6.5,10,6,7,8
9.1,29,7,8,9
7.1,33,7,8,9
6.9,624,1,2,3
6.5,30,2,3,4
6.1,15,6,7,8
7,39,5,6,7
7.6,33,4,5,6
7,40,9,10,11
6.6,33,4,5,6
6.7,8,6,7,8
6.6,181,2,3,4
6.5,17,2,3,4
7.3,20,6,7,8
7.7,196,3,4,5
6.6,9.45,3,4,5
6.5,29,6,7,8
7.7,10,5,6,7
7.2,16,3,4,5
6.5,9,5,6,7
6.6,11,6,7,8
6.9,17,7,8,9
6.8,25,7,8,9
6.9,93,4,5,6
6.4,20,4,5,6
6.7,35,4,5,6
6.7,11,4,5,6
6.6,29,4,5,6
6.1,6,3,4,5
6.8,33,4,5,6
6.5,33,4,5,6
7.2,10,6,7,8
6.5,209.976,2,3,4
7.1,10,4,5,6
6.3,19,6,7,8
6.6,28,6,7,8
7.3,5,8,9,10
7.1,10,4,5,6
7.9,33,3,4,5
6.9,10,5,6,7
6.6,10,4,5,6
6.7,595.854,1,2,3
7,73,5,6,7
6.8,39,3,4,5
7.7,44,6,7,8
6.9,12,2,3,4
7.1,10,7,8,9
6,8,6,7,8
5.8,11,3,4,5
7.2,18.98,5,6,7
5.4,54,5,6,7
5.8,9,6,7,8
6.7,573,1,2,3
7.6,18.1,5,6,7
7.7,33,4,5,6
7.2,15,8,9,10
8.3,14,7,8,9
6,11,6,7,8
6.9,34,6,7,8
9.1,29,7,8,9
7.1,15,8,9,10
7.5,40,3,4,5
5.4,54,5,6,7
4.9,33,4,5,6
6.6,10,7,8,9
5.6,24,6,7,8
7.4,31.1,5,6,7
7.7,10,6,7,8
6.7,11,4,5,6
6.9,24,3,4,5
5.4,10,6,7,8
6.8,12,3,4,5
7.6,13,5,6,7
6.6,33,4,5,6
6.5,100.8,4,5,6
5,8,6,7,8
6.8,630.379,1,2,3
7.1,102,5,6,7
7.7,15,6,7,8
7.6,30,5,6,7
6.8,38,4,5,6
6.9,10,7,8,9
6.6,598.467,0,1,2
6.9,10,1,2,3
7.8,20,10,11,12
7.4,36,4,5,6
7.4,39,4,5,6
8,39,6,7,8
7.7,30,8,9,10
6.6,25.7,3,4,5
6.9,28,5,6,7
8,100,6,7,8
6.7,11,6,7,8
8.3,26,6,7,8
7.5,25,6,7,8
6.5,301,2,3,4
6.5,19.36,6,7,8
6.2,9,4,5,6
4.5,27,5,6,7
6.5,13.4,5,6,7
6.5,41,4,5,6
6.8,122.9,4,5,6
5.2,9,7,8,9
6.5,8,7,8,9
6.8,19,4,5,6
6.5,28,4,5,6
7.2,32,4,5,6
6.2,19,5,6,7
6.8,20,5,6,7
6.5,33,4,5,6
7.4,23,5,6,7
6.4,14,7,8,9
6.7,32,4,5,6
6.6,15,5,6,7
5.3,19,5,6,7
7.1,21,4,5,6
6.8,12,8,9,10
6.3,33,6,7,8
6.4,3,6,7,8
7.5,31,5,6,7
7.9,670.81,2,3,4
6.6,591,1,2,3
5,6,5,6,7
7,18,4,5,6
5.4,15,5,6,7
6.8,144.3,3,4,5
5.8,15,6,7,8
6.5,8,2,3,4
7,39,5,6,7
7,33,5,6,7
6.7,200.7,2,3,4
6.6,11,4,5,6
6.6,35,7,8,9
7.5,33,4,5,6
7.1,35,5,6,7
5.8,10,8,9,10
6.2,12,7,8,9
8.5,25,9,10,11
6.2,16,6,7,8
6.6,10,5,6,7
8.3,30,8,9,10
7.5,280,3,4,5
6.7,12,5,6,7
6.5,83,4,5,6
7.9,40,7,8,9
6.7,10,6,7,8
6.9,10,7,8,9
6.5,105,3,4,5
6.6,11.1,8,9,10
6.7,28,4,5,6
6.6,53,3,4,5
7.1,21,4,5,6
7,20,3,4,5
7,33.729,6,7,8
6.5,34,4,5,6
7.4,30,7,8,9
7.2,68,5,6,7
7.3,15,5,6,7
6.2,18,7,8,9
5.1,33,5,6,7
7,24,5,6,7
7.7,10,5,6,7
7.8,15,3,4,5
6.5,27,5,6,7
4.9,8,5,6,7
6.6,25,4,5,6
4.3,5,5,6,7
7.3,41,6,7,8
6.1,95,4,5,6
5.5,27,4,5,6
7.5,231,5,6,7
7.5,30,6,7,8
6.9,5,5,6,7
6.6,10,5,6,7
5.8,25,6,7,8
9.5,33,10,11,12
7.1,34,4,5,6
6.7,20,7,8,9
6.6,18,5,6,7
7.2,35,3,4,5
6.6,13,3,4,5
6.5,10,6,7,8
6.6,10,5,6,7
7.2,32.571,4,5,6
7.5,145,5,6,7
7.8,40,5,6,7
7.1,19,7,8,9
7.9,50,4,5,6
8.1,33,7,8,9
7.1,19.04,6,7,8
5.6,15,5,6,7
5.6,217,2,3,4
7.8,50,8,9,10
7.1,10,4,5,6
6.1,8,6,7,8
6.9,47.5,4,5,6
6.5,10,6,7,8
6.6,10,2,3,4
8.1,34,7,8,9
7.5,20,8,9,10
6.8,13.7,4,5,6
6.7,12,3,4,5
6.5,14,7,8,9
6.7,624,1,2,3
6.6,27,4,5,6
7.5,100,7,8,9
7.6,116,6,7,8
7.5,231,5,6,7
6.2,5,4,5,6
8.5,25,9,10,11
7.1,28.4,4,5,6
5.7,18,5,6,7
6.8,198.7,3,4,5
8.16,27,7,8,9
6.7,31,4,5,6
5.6,15,5,6,7
9.1,30,6,7,8
6.8,14,3,4,5
6.6,85,6,7,8
6.6,27,3,4,5
6.6,85,6,7,8
6.6,10,5,6,7
6.6,212,2,3,4
8,55,5,6,7
7.3,26.3,5,6,7
6.7,11,2,3,4
7,10,8,9,10
6.8,22,2,3,4
6.6,598.467,0,1,2
7,13,5,6,7
8,24,5,6,7
6.6,10,5,6,7
5.4,35,7,8,9
7.1,40,5,6,7
7.3,62,4,5,6
7.1,33,6,7,8
5.5,10,6,7,8
8.1,22.79,5,6,7
7.4,20,5,6,7
4.4,35,5,6,7
8.1,34,7,8,9
7.1,33,4,5,6
6.6,7,1,2,3
6.8,10,5,6,7
6.8,50.4,4,5,6
6.4,15,4,5,6
6.4,10,6,7,8
5.8,10,8,9,10
6.8,25,7,8,9
7.8,28,5,6,7
7.5,120,5,6,7
6.2,10,7,8,9
6.8,535,1,2,3
7.6,30,8,9,10
6.5,20,2,3,4
4.8,5,2,3,4
6.9,25,2,3,4
6.9,19.73,4,5,6
7,29,5,6,7
5.8,5,6,7,8
6.6,17,5,6,7
8.2,30,8,9,10
7.2,24,5,6,7
6.8,164.2,3,4,5
6.5,12.26,3,4,5
7.1,525,1,2,3
5.2,41,4,5,6
8.2,46.66,4,5,6
7.1,10,5,6,7
7.1,6,2,3,4
6.4,15,5,6,7
8.2,35,5,6,7
6.7,32,4,5,6
6.7,553.81,1,2,3
7.3,70,9,10,11
5.5,8,4,5,6
6.3,16,7,8,9
6.6,53.19,4,5,6
6.1,60,6,7,8
8.2,35,5,6,7
8.1,23,7,8,9
7,28.41,5,6,7
7.8,15.11,7,8,9
7.1,43.063,5,6,7
7.7,18.027,2,3,4
7.2,35,3,4,5
6.6,15,7,8,9
7.6,89,5,6,7
7.1,12,2,3,4
6.5,33,5,6,7
7.2,68,5,6,7
5,10,5,6,7
5.5,27,4,5,6
7,34,4,5,6
6.6,27,4,5,6
7.9,5,7,8,9
6.6,35,7,8,9
6.7,23,4,5,6
6.6,39,4,5,6
8.4,40,7,8,9
7.5,31,5,6,7
6.5,10,5,6,7
6.6,33,4,5,6
7.2,78,4,5,6
6.5,9,6,7,8
5.8,10,7,8,9
7.2,16,2,3,4
7.6,31,4,5,6
6.5,10,5,6,7
8,600,2,3,4
5,10,2,3,4
7.3,15,8,9,10
6.7,27.4,4,5,6
6.2,8,6,7,8
6.8,22,2,3,4
6.5,32,3,4,5
5.9,13,7,8,9
6.6,16,2,3,4
7.5,100,7,8,9
5.1,15,4,5,6
7.1,35,2,3,4
7.1,40.7,5,6,7
5.8,10,8,9,10
6.9,26,5,6,7
6.8,24,6,7,8
4.7,24,5,6,7
5.6,26,6,7,8
6.7,100,6,7,8
6.9,4,6,7,8
7.1,206.7,3,4,5
4.7,33,5,6,7
6.7,27.59,3,4,5
6.1,9,6,7,8
7.3,16,5,6,7
6.7,33,4,5,6
7.5,60,8,9,10
6.9,10,7,8,9
7.9,33,4,5,6
7,15,6,7,8
6.7,46,4,5,6
7.1,21,4,5,6
5.1,6,5,6,7
7.1,15,7,8,9
6.5,105,3,4,5
6.6,96,4,5,6
7.9,42.6,5,6,7
6.1,113,5,6,7
7,15,6,7,8
6.7,24,5,6,7
6.4,37,3,4,5
7.6,30,8,9,10
6.5,18,5,6,7
6.2,19,5,6,7
6.8,18,5,6,7
7.8,40,5,6,7
7.3,19,5,6,7
6.9,24,3,4,5
5.3,33,5,6,7
